Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,FirstName,LastName,skills
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,Edward,Buck,"[""Data Entry"",""Equipment Handling"",""Chemical Handling"",""Time Management"",""Microscopy""]"
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,Jasmine,Onque,"[""Equipment Handling"",""Sample Analysis"",""Chemical Handling"",""Microscopy""]"
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,Maruk,Fraval,"[""Data Entry"",""Lab Safety"",""Equipment Handling"",""Chemical Handling""]"
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0,Latia,Costa,"[""Microscopy"",""Data Entry"",""Time Management"",""Lab Safety"",""Sample Analysis"",""Equipment Handling""]"
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8,Jac,McKinzie,"[""Six Sigma"",""Process Improvement"",""Compliance Management"",""Lean Manufacturing"",""Operations Management""]"
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7,Joseph,Martins,"[""Conflict Resolution"",""Customer Service"",""Patient Communication"",""CRM"",""Healthcare Knowledge"",""Time Management""]"
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0,Sharlene,Terry,"[""Lab Safety"",""Attention to Detail"",""Microscopy"",""Equipment Handling"",""Chemical Handling"",""Data Entry""]"
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,Michael,Riordan,"[""Data Analysis"",""Machine Learning"",""Experiment Design"",""Scientific Writing"",""Literature Review""]"
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Uriah,Bridges,"[""Customer Acquisition"",""Time Management"",""CRM Tools"",""Presentation Skills""]"
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7,Paula,Small,"[""Experiment Design"",""Python"",""Data Analysis"",""Microscopy"",""Lab Safety"",""Statistics""]"
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,14,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3,Myriam,Givens,"[""Chemical Handling"",""Standard Operating Procedures (SOP)"",""Time Management"",""Equipment Handling""]"
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2,Xana,Potts,"[""Microscopy"",""Standard Operating Procedures (SOP)"",""Lab Safety"",""Data Entry"",""Chemical Handling""]"
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8,Dheepa,Nguyen,"[""Equipment Handling"",""Time Management"",""Attention to Detail"",""Standard Operating Procedures (SOP)""]"
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3,Bartholemew,Khemmich,"[""Machine Learning"",""Microscopy"",""Literature Review"",""Python"",""Hypothesis Testing"",""Data Analysis""]"
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5,Kristen,Tate,"[""Experiment Design"",""Literature Review"",""Hypothesis Testing"",""Microscopy"",""Lab Safety""]"
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3,Prater,Jeremy,"[""Standard Operating Procedures (SOP)"",""Lab Safety"",""Equipment Handling"",""Data Entry"",""Chemical Handling"",""Microscopy""]"
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8,Kaylah,Moon,"[""Process Improvement"",""Budgeting"",""Workforce Scheduling"",""Inventory Planning""]"
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,1,Female,78,2,4,Manager,4,Married,15427,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7,Reid,Park,"[""Strategic Planning"",""Performance Reviews"",""Team Management"",""Leadership"",""Cross-functional Collaboration"",""KPI Tracking""]"
22,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0,Bobby,Rodgers,"[""Equipment Handling"",""Standard Operating Procedures (SOP)"",""Time Management"",""Sample Analysis""]"
24,No,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3,Mariela,Schultz,"[""Compliance Management"",""Workforce Scheduling"",""Inventory Planning"",""Budgeting""]"
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2,Hector,Dalton,"[""Data Analysis"",""Scientific Writing"",""Python"",""Statistics"",""Experiment Design""]"
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3,Angela,Molina,"[""Networking"",""Communication"",""Sales Presentations"",""Time Management"",""CRM"",""Relationship Building""]"
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11,Gerald,Preston,"[""Data Science"",""Innovation"",""Ethics \u0026 Compliance"",""Strategic Planning""]"
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0,Reilly,Moyer,"[""Literature Review"",""Hypothesis Testing"",""Experiment Design"",""Microscopy"",""Lab Safety""]"
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,1,31,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3,Carlee,French,"[""Data Analysis"",""Machine Learning"",""Lab Safety"",""Statistics"",""Experiment Design""]"
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8,Jaydon,Blackburn,"[""Conflict Resolution"",""Project Management"",""Budget Management"",""Cross-functional Collaboration"",""Strategic Planning""]"
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,33,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7,Bridger,Carter,"[""Data Analysis"",""Hypothesis Testing"",""Lab Safety"",""Machine Learning"",""Literature Review"",""Python""]"
42,No,Travel_Rarely,691,Sales,8,4,Marketing,1,35,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,Leon,Beard,"[""Cold Calling"",""CRM Tools"",""Negotiation"",""B2B Sales"",""Salesforce""]"
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,36,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17,Charity,Miranda,"[""Customer Service"",""Conflict Resolution"",""Patient Communication"",""Healthcare Knowledge"",""Emotional Intelligence"",""Time Management""]"
46,No,Travel_Rarely,705,Sales,2,4,Marketing,1,38,2,Female,83,3,5,Manager,1,Single,18947,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1,Axel,Howe,"[""Team Management"",""Project Management"",""Budget Management"",""Leadership"",""Performance Reviews""]"
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0,Milton,Wall,"[""Attention to Detail"",""Standard Operating Procedures (SOP)"",""Equipment Handling"",""Sample Analysis"",""Lab Safety"",""Time Management""]"
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,1,40,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3,Cory,Robinson,"[""Regulatory Compliance"",""Patient Communication"",""Time Management"",""Conflict Resolution"",""Emotional Intelligence"",""Customer Service""]"
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,1,41,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8,Saniya,Yu,"[""Sample Analysis"",""Time Management"",""Lab Safety"",""Attention to Detail"",""Data Entry"",""Equipment Handling""]"
35,No,Travel_Rarely,464,Research & Development,4,2,Other,1,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0,Celia,Curtis,"[""Attention to Detail"",""Data Entry"",""Microscopy"",""Equipment Handling"",""Time Management"",""Standard Operating Procedures (SOP)""]"
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0,Valentin,Reilly,"[""Lab Safety"",""Standard Operating Procedures (SOP)"",""Attention to Detail"",""Data Entry"",""Equipment Handling"",""Chemical Handling""]"
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1,Ryland,Shepherd,"[""Chemical Handling"",""Standard Operating Procedures (SOP)"",""Data Entry"",""Lab Safety"",""Time Management"",""Microscopy""]"
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7,Esteban,Gilbert,"[""Revenue Forecasting"",""Salesforce"",""B2B Sales"",""Lead Scoring"",""Cold Calling"",""Customer Acquisition""]"
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,1,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7,Jonathan,Adkins,"[""Standard Operating Procedures (SOP)"",""Time Management"",""Lab Safety"",""Attention to Detail"",""Chemical Handling""]"
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,Nevaeh,Soto,"[""Machine Learning"",""Data Science"",""Innovation"",""Academic Publishing"",""Strategic Planning""]"
34,No,Non-Travel,1065,Sales,23,4,Marketing,1,60,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7,Chaim,Mata,"[""Customer Acquisition"",""Cold Calling"",""Lead Scoring"",""Presentation Skills""]"
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,61,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0,Arely,Patton,"[""Python"",""Machine Learning"",""Scientific Writing"",""Statistics""]"
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,62,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8,Vance,Trujillo,"[""Time Management"",""Revenue Forecasting"",""Cold Calling"",""Customer Acquisition"",""Negotiation"",""Lead Scoring""]"
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,63,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1,Charlie,Koch,"[""Equipment Handling"",""Standard Operating Procedures (SOP)"",""Attention to Detail"",""Data Entry"",""Chemical Handling""]"
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,64,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0,Sonny,Horne,"[""Data Entry"",""Chemical Handling"",""Time Management"",""Standard Operating Procedures (SOP)"",""Microscopy"",""Equipment Handling""]"
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,65,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2,Thomas,Chandler,"[""Sample Analysis"",""Equipment Handling"",""Chemical Handling"",""Attention to Detail""]"
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,1,68,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3,Sarai,Stone,"[""Negotiation"",""CRM Tools"",""Revenue Forecasting"",""Customer Acquisition""]"
35,No,Non-Travel,1097,Research & Development,11,2,Medical,1,70,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3,Jerimiah,Harmon,"[""Regulatory Compliance"",""Healthcare Knowledge"",""Emotional Intelligence"",""Customer Service"",""Empathy"",""CRM""]"
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,1,72,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0,Leland,Allen,"[""Negotiation"",""Presentation Skills"",""Salesforce"",""Cold Calling"",""Lead Scoring"",""CRM Tools""]"
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,73,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12,Cristal,Bolton,"[""Data Science"",""Research Management"",""Grant Writing"",""Ethics \u0026 Compliance"",""Strategic Planning"",""Academic Publishing""]"
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,1,74,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8,Jaslene,Harding,"[""Presentation Skills"",""Cold Calling"",""CRM Tools"",""Revenue Forecasting"",""Lead Scoring"",""Time Management""]"
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,1,75,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2,Albert,Gonzalez,"[""Attention to Detail"",""Sample Analysis"",""Microscopy"",""Time Management"",""Chemical Handling""]"
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0,Alisa,James,"[""Networking"",""Time Management"",""Upselling"",""Relationship Building"",""Territory Management""]"
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,Lincoln,Compton,"[""Lab Safety"",""Experiment Design"",""Python"",""Literature Review"",""Scientific Writing"",""Microscopy""]"
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4,Aliana,Nolan,"[""Scientific Writing"",""Experiment Design"",""Lab Safety"",""Python"",""Data Analysis""]"
