Applicant ID,Application Date,First Name,Last Name,Gender,Date of Birth,Phone Number,Email,Address,City,State,Zip Code,Country,Education Level,Years of Experience,Desired Salary,Job Title,Status,Skills
1001,03-Jun-23,Scott,Sheppard,Male,31-08-1992,421-429-7655x39421,perezjanet@example.org,597 Smith Point,Hollandfort,NV,57588,Micronesia,High School,8,60103.21,Research Director,Interviewing,"['Machine Learning', 'Research Management', 'Ethics & Compliance', 'Team Leadership', 'Innovation', 'Academic Publishing']"
1002,15-May-23,Stanley,Lewis,Male,29-04-1965,+1-451-574-5308x1681,grossmark@example.com,8116 Stuart Loop,Port Margaretfurt,TN,14726,Greenland,Bachelor's Degree,17,64575.84,Manager,Rejected,"['KPI Tracking', 'Cross-functional Collaboration', 'Conflict Resolution', 'Strategic Planning', 'Leadership']"
1003,04-Aug-23,Javier,Li,Female,10-03-1973,(858)901-5499,katiemaldonado@example.com,5940 Barr Villages Suite 075,Dianaland,TX,4699,China,PhD,20,39422.71,Research Scientist,Rejected,"['Literature Review', 'Python', 'Machine Learning', 'Hypothesis Testing', 'Microscopy', 'Scientific Writing']"
1004,28-Jul-23,Christopher,Johnston,Other,04-04-2001,(853)681-1839x2010,sheila73@example.com,442 Lewis Mount,Youngfurt,GA,34455,Ghana,High School,8,51045.11,Sales Executive,Rejected,"['Salesforce', 'Cold Calling', 'Negotiation', 'Presentation Skills', 'Revenue Forecasting', 'Customer Acquisition']"
1005,05-Jun-23,Melissa,Hicks,Other,17-06-1978,364-575-8478x67812,emilypatterson@example.org,95961 Taylor Circles Apt. 169,East Ashleyborough,IN,21014,Solomon Islands,Master's Degree,0,52792.86,Healthcare Representative,Interviewing,"['Healthcare Knowledge', 'Customer Service', 'CRM', 'Conflict Resolution']"
1006,26-Jul-23,Christian,Maddox,Female,14-06-1983,(894)940-2919,pvelasquez@example.net,3030 Bell Islands,Boonefort,NC,34763,Liberia,Master's Degree,18,97746.62,Human Resources,In Review,"['Onboarding', 'Interviewing', 'Payroll Processing', 'Communication']"
1007,09-Jun-23,Paul,Hammond,Female,16-08-1963,###############################################################################################################################################################################################################################################################,aclayton@example.net,58473 Jenna Trail,Port Barry,GA,57472,Congo,High School,11,80119.39,Sales Executive,Offered,"['Revenue Forecasting', 'B2B Sales', 'Presentation Skills', 'Time Management', 'Cold Calling', 'Lead Scoring']"
1008,15-Jul-23,Madison,Williamson,Male,07-09-1978,001-902-992-9557x692,jeffreyellis@example.com,24740 Gregory Stravenue Suite 212,New Luisfort,VA,71682,Pitcairn Islands,Bachelor's Degree,0,41578.78,Research Scientist,Offered,"['Statistics', 'Microscopy', 'Lab Safety', 'Hypothesis Testing', 'Machine Learning']"
1009,16-Jun-23,Rachael,Duran,Male,11-09-1997,+1-738-583-6354x63335,hamptontimothy@example.net,375 Flowers Well,Amandashire,PW,25218,Spain,High School,15,44489.6,Research Director,Interviewing,"['Team Leadership', 'Machine Learning', 'Research Management', 'Data Science']"
1010,25-May-23,Sherri,Taylor,Male,24-04-1983,915.372.0499,cshaw@example.net,037 Quinn Route,Garrisonmouth,CA,82074,Gabon,Master's Degree,4,97363.53,Healthcare Representative,Offered,"['Emotional Intelligence', 'Conflict Resolution', 'Customer Service', 'Healthcare Knowledge', 'CRM', 'Regulatory Compliance']"
1011,14-May-23,Jennifer,Weaver,Other,22-10-1998,852.435.8495,sloankrista@example.org,700 Quinn Green Suite 066,Haileyville,MS,37729,Switzerland,PhD,19,39252.38,Healthcare Representative,In Review,"['Customer Service', 'Empathy', 'Emotional Intelligence', 'Healthcare Knowledge', 'Regulatory Compliance']"
1012,04-Jun-23,Kyle,Blake,Other,25-03-2001,001-527-907-9332x4819,shelia63@example.net,611 Thomas Dam Suite 296,East Melinda,OH,62970,China,Bachelor's Degree,7,79650.82,Manager,Applied,"['Leadership', 'Cross-functional Collaboration', 'Strategic Planning', 'Conflict Resolution', 'Performance Reviews', 'Budget Management']"
